Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SLOAD, operate, SLOAD, inner, 0x0, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0xa43fe16908251ee70ef74718545e4fe6c5ccec9f
operate, SLOAD, operate, SLOAD, inner, 0xa43fe16908251ee70ef74718545e4fe6c5ccec9f, 0x0
operate, SLOAD, operate, SLOAD, inner, 0x0, 0xb8c396d4df5c63c66f04afa
operate, SLOAD, operate, SSTORE, inner, 0xb8c396d4df5c63c66f04afa, 0x0
operate, SSTORE, operate, SLOAD, inner, 0x0, 0x48687f1a605bab0300dca2732
operate, SLOAD, operate, SSTORE, inner, 0x48687f1a605bab0300dca2732, 0x492142b1353b0766c74ba722c
operate, SSTORE, event, log, inner, 0x492142b1353b0766c74ba722c, LOG3
event, LOG3, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, innerEventToReturn, LOG3, 5
addr, 0xf239009a101b6b930a527deaab6961b6e7dec8a6, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 6, 5
addr, 0xf239009a101b6b930a527deaab6961b6e7dec8a6, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, STATICCALL, 4, 5
addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, func, balanceOf(address), inner, 4, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x492142b1353b0766c74ba722c
operate, SLOAD, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, innerOperateToReturn, 0x492142b1353b0766c74ba722c, 4
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xf239009a101b6b930a527deaab6961b6e7dec8a6, RETURN, 5, 4
event, LOG3, operate, SLOAD, inner, LOG3, 0xc000c000afcc2480000000000000000000199cf15d20b11cbcadd26
operate, SLOAD, operate, SSTORE, inner, 0xc000c000afcc2480000000000000000000199cf15d20b11cbcadd26, 0x100000c000c000afcc2480000000000000000000199cf15d20b11cbcadd26
operate, SSTORE, addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, innerOperateToReturn, 0x100000c000c000afcc2480000000000000000000199cf15d20b11cbcadd26, 4
addr, 0x6982508145454ce325ddbe47a25d4ec3d2311933, addr, 0xf239009a101b6b930a527deaab6961b6e7dec8a6, RETURN, 4, 3
