Type1, Node1, Type2, Node2, Edgetype, X1, X2
operate, SSTORE, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x100000100010000fdaf94000000000000000000215f8a7af20367d1cbbe30, 2
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xf64e49c1d1d2b1cfa570b1da6481dc8dc95cd093, RETURN, 2, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, STATICCALL, 1, 2
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, balanceOf(address), inner, 1, 1
func, balanceOf(address), operate, SLOAD, inner, 1, 0x328cece3c55d71
operate, SLOAD, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, innerOperateToReturn, 0x328cece3c55d71, 1
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, RETURN, 2, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, CALL, 1, 2
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, func, withdraw(uint256), inner, 1, 1
func, withdraw(uint256), operate, SLOAD, inner, 1, 0x328cece3c55d71
operate, SLOAD, operate, SLOAD, inner, 0x328cece3c55d71, 0x328cece3c55d71
operate, SLOAD, operate, SSTORE, inner, 0x328cece3c55d71, 0x1
operate, SSTORE, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, inner, 0x1, 2
addr, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, CALL, 2, 3
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, func, undefined, inner, 2, N
func, undefined, event, log, inner, N, LOG2
event, LOG2, operate, SSTORE, inner, LOG2, 0xb00b5babefeebabebeefbabeb00b5babefeebabebeefbabeb00b5babefeebabe
operate, SSTORE, addr, 0x1f9090aae28b8a3dceadf281b0f12828e676c326, inner, 0xb00b5babefeebabebeefbabeb00b5babefeebabebeefbabeb00b5babefeebabe, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0x1f9090aae28b8a3dceadf281b0f12828e676c326, CALL, 1, 2
addr, 0x1f9090aae28b8a3dceadf281b0f12828e676c326, func, undefined, inner, 1, N
func, undefined, addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, innerFuncToCall, N, 1
addr, 0xf9a001d5b2c7c5e45693b41fcf931b94e680cac4, addr, 0xc0ffeebabe5d496b2dde509f9fa189c25cf29671, CALL, 1, 2
addr, 0xc0ffeebabe5d496b2dde509f9fa189c25cf29671, func, undefined, inner, 1, N
func, undefined, 
